Player Name,player_link,Position,Age,nation,matches,goals,assists,Points,Market Value,Market_Value_EUR
Lukas Holik,https://www.transfermarkt.com/lukas-holik/profil/spieler/204280,Second Striker,31,Czech Republic,33,14,15,29,,
Matheus Cunha,https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894,Second Striker,25,Brazil,36,17,6,23,€60.00m,60000000
Rafa Silva,https://www.transfermarkt.com/rafa-silva/profil/spieler/238055,Second Striker,31,Portugal,39,15,8,23,€9.00m,9000000
Matej Hoic,https://www.transfermarkt.com/matej-hoic/profil/spieler/620048,Second Striker,23,Croatia,32,19,3,22,,
Mohamed Alì Zoma,https://www.transfermarkt.com/mohamed-ali-zoma/profil/spieler/935828,Second Striker,20,"Italy, Cote d'Ivoire",35,13,8,21,€500k,500000
Nick Woltemade,https://www.transfermarkt.com/nick-woltemade/profil/spieler/455661,Second Striker,22,Germany,33,17,3,20,€30.00m,30000000
Ademola Lookman,https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040,Second Striker,26,"Nigeria, England",32,15,5,20,€60.00m,60000000
Dries Mertens,https://www.transfermarkt.com/dries-mertens/profil/spieler/56416,Second Striker,37,Belgium,40,5,15,20,,
Jamie Donley,https://www.transfermarkt.com/jamie-donley/profil/spieler/796305,Second Striker,19,"Northern Ireland, England",45,8,11,19,€1.50m,1500000
Antoine Griezmann,https://www.transfermarkt.com/antoine-griezmann/profil/spieler/125781,Second Striker,33,France,43,10,7,17,€18.00m,18000000
Maksim Glushenkov,https://www.transfermarkt.com/maksim-glushenkov/profil/spieler/448981,Second Striker,24,Russia,26,11,5,16,€14.00m,14000000
John McAtee,https://www.transfermarkt.com/john-mcatee/profil/spieler/504855,Second Striker,24,England,49,11,5,16,€400k,400000
Amir Abdijanovic,https://www.transfermarkt.com/amir-abdijanovic/profil/spieler/404929,Second Striker,23,Austria,30,10,5,15,€225k,225000
Mario Greco,https://www.transfermarkt.com/mario-greco/profil/spieler/932193,Second Striker,17,"Switzerland, Italy",27,9,6,15,€100k,100000
Nicola Fasan,https://www.transfermarkt.com/nicola-fasan/profil/spieler/404972,Second Striker,26,Italy,33,6,9,15,€200k,200000
Milos Savic,https://www.transfermarkt.com/milos-savic/profil/spieler/531601,Second Striker,22,Austria,26,14,0,14,,
Florian Thauvin,https://www.transfermarkt.com/florian-thauvin/profil/spieler/184892,Second Striker,31,France,26,9,5,14,€5.00m,5000000
Dani Raba,https://www.transfermarkt.com/dani-raba/profil/spieler/413262,Second Striker,28,Spain,33,9,5,14,€2.50m,2500000
Kike Márquez,https://www.transfermarkt.com/kike-marquez/profil/spieler/101733,Second Striker,34,Spain,37,8,6,14,€100k,100000
Giuseppe Fella,https://www.transfermarkt.com/giuseppe-fella/profil/spieler/199896,Second Striker,30,Italy,29,11,2,13,€250k,250000
Adam Fila,https://www.transfermarkt.com/adam-fila/profil/spieler/612650,Second Striker,24,Czech Republic,32,11,2,13,,
Dominic Vavassori,https://www.transfermarkt.com/dominic-vavassori/profil/spieler/936739,Second Striker,18,"Italy, Brazil",26,9,4,13,€1.50m,1500000
Dani Aquino,https://www.transfermarkt.com/dani-aquino/profil/spieler/59335,Second Striker,33,"Spain, Argentina",34,9,4,13,€150k,150000
Sebastiano Esposito,https://www.transfermarkt.com/sebastiano-esposito/profil/spieler/538918,Second Striker,21,Italy,37,10,2,12,€8.50m,8500000
Callum Lang,https://www.transfermarkt.com/callum-lang/profil/spieler/425865,Second Striker,25,England,33,10,2,12,€2.80m,2800000
Juan Manuel Boselli,https://www.transfermarkt.com/juan-manuel-boselli/profil/spieler/487421,Second Striker,24,"Uruguay, Italy",29,10,2,12,€1.20m,1200000
Jacopo Manconi,https://www.transfermarkt.com/jacopo-manconi/profil/spieler/240206,Second Striker,30,Italy,33,9,3,12,€400k,400000
Adam Hlozek,https://www.transfermarkt.com/adam-hlozek/profil/spieler/552057,Second Striker,21,Czech Republic,29,8,3,11,€18.00m,18000000
Filip Kubala,https://www.transfermarkt.com/filip-kubala/profil/spieler/339077,Second Striker,24,Czech Republic,31,7,4,11,€650k,650000
Tomas Ladra,https://www.transfermarkt.com/tomas-ladra/profil/spieler/334803,Second Striker,27,Czech Republic,31,4,7,11,€1.00m,1000000
Taxiarchis Fountas,https://www.transfermarkt.com/taxiarchis-fountas/profil/spieler/192409,Second Striker,28,Greece,29,9,1,10,€3.00m,3000000
Ba-Muaka Simakala,https://www.transfermarkt.com/ba-muaka-simakala/profil/spieler/227974,Second Striker,27,"Germany, DR Congo",24,8,2,10,€450k,450000
Denis Cazzadori,https://www.transfermarkt.com/denis-cazzadori/profil/spieler/815543,Second Striker,20,Italy,38,7,3,10,€200k,200000
Federico Mastropietro,https://www.transfermarkt.com/federico-mastropietro/profil/spieler/386577,Second Striker,25,Italy,34,7,2,9,€300k,300000
João Félix,https://www.transfermarkt.com/joao-felix/profil/spieler/462250,Second Striker,24,Portugal,34,6,3,9,€20.00m,20000000
Paulo Dybala,https://www.transfermarkt.com/paulo-dybala/profil/spieler/206050,Second Striker,30,"Argentina, Italy",25,6,3,9,€8.00m,8000000
Steven Skrzybski,https://www.transfermarkt.com/steven-skrzybski/profil/spieler/93827,Second Striker,31,Germany,25,6,3,9,€1.00m,1000000
